1,Access,2003,Access_2003_100000.ini
2,Access,2007,Access_2007_100000.ini
3,Access,2007SP2,Access_2007SP2_100000.ini
4,AcrobatStandard,10.1.2,AcrobatStandard_10.1.2_100000.ini
5,AcrobatStandard,9.1.2,AcrobatStandard_9.1.2_100000.ini
6,AcrobatStandard,9.4.3,AcrobatStandard_9.4.3_100000.ini
7,AdobeReader,10.1.3,AdobeReader_10.1.3_100000.ini
8,AdobeReader,8.0,AdobeReader_8.0_100000.ini
9,AdobeReader,9.3.2,AdobeReader_9.3.2_100000.ini
10,AdobeReader,9.4.6,AdobeReader_9.4.6_100000.ini
11,AnyConnectVPNClient,2.5.0217,AnyConnectVPNClient_2.5.0217_100000.ini
12,AssetManager,5.20,AssetManager_5.20_200000.ini
13,BravaClient,5.3,BravaClient_5.3_100000.ini
14,BusinessObjects,XIR2,BusinessObjects_XIR2_100000.ini
15,BusinessObjects,XIR3.1SP5FP5.3,BusinessObjects_XIR3.1SP5FP5.3_100000.ini
16,CiscoSSC-v5.1.0-Business,2.1,CiscoSSC-v5.1.0-Business_2.1_100000.ini
17,CiscoVPNClient,4.8.00.0440,CiscoVPNClient_4.8.00.0440_200000.ini
18,CiscoVPNClient,5.0.07.0290,CiscoVPNClient_5.0.07.0290_100000.ini
19,CognosEnterprisePlanning,8.3,CognosEnterprisePlanning_8.3_100000.ini
20,CognosEPExcelAddIn,8.1,CognosEPExcelAddIn_8.1_100000.ini
21,CrystalReports,XIR2SP4,CrystalReports_XIR2SP4_100000.ini
22,CrystalReportsRuntime,11.5,CrystalReportsRuntime_11.5_100000.ini
23,Curl,6.1,Curl_6.1_100000.ini
24,CutePDF,2.71,CutePDF-Writer_2.71_100000.ini
25,DB2Connect,7.2,DB2Connect_7.2_100000.ini
26,DB2RuntimeClient,8.1.5,DB2RuntimeClient_8.1.5_100000.ini
27,DB2RuntimeClient,9.1.8,DB2RuntimeClient_9.1.8_100000.ini
28,Extra,7.11,Extra_7.11_200000.ini
29,FlashPlayer,10.0.42.34,FlashPlayer_10.0.42.34_200000.ini
30,FlashPlayer,10.1.85.3,FlashPlayer_10.1.85.3_200000.ini
31,FlashPlayer,11.1.102.63,FlashPlayer_11.1.102.63_100000.ini
32,Free3of9,1.00,Free3of9_1.00_100000.ini
33,IDMThickClient,20.1.0.124-6,IDMThickClient_20.1.0.124-6_100000.ini
34,InternetExplorer,7.0,InternetExplorer_7.0_100000.ini
35,InternetExplorer,8.0,InternetExplorer_8.0_200000.ini
36,JavaAdvancedImaging,1.1.2r1,JavaAdvancedImaging_1.1.2r1_100000.ini
37,JavaHeapConfig,1.0,JavaHeapConfig_1.0_100000.ini
38,JavaRuntimeEnvironment,1.5.0.09,JavaRuntimeEnvironment_1.5.0.09_100000.ini
39,JavaRuntimeEnvironment,1.5.0.12,JavaRuntimeEnvironment_1.5.0.12_100000.ini
40,JavaRuntimeEnvironment,1.6.0.21,JavaRuntimeEnvironment_1.6.0.21_100000.ini
41,Microsoft.Net,3.5SP1,Microsoft.Net_3.5SP1_100000.ini
42,Microsoft.Net,4.0,Microsoft.Net_4.0_100000.ini
43,Notes,6.5.2,Notes_6.5.2_100000.ini
44,Notes,6.5.2,Notes_6.5.2_200000.ini
45,Notes,8.0.1Basic,Notes_8.0.1Basic_100000.ini
46,Notes,8.5.1FP2Standard,Notes_8.5.1FP2Standard_100000.ini
47,Office,2003SP1,Office_2003SP1_100000.ini
48,Office,2007SP2,Office_2007SP2_200000.ini
49,Office,2010SP1,Office_2010SP1_100000.ini
50,OfficeCompatibilityPack,2007,OfficeCompatibilityPack_2007_100000.ini
51,OfficeDocumentImaging,2007,OfficeDocumentImaging_2007_100000.ini
52,OneLinkDesktopIcon,1.0,OneLinkDesktopIcon_1.0_100000.ini
53,OneNote,2007,OneNote_2007_100000.ini
54,Oracle,10.2.0.1.0g,Oracle_10.2.0.1.0g_100000.ini
55,Oracle,11gR2-r2,Oracle_11gR2-r2_100000.ini
56,Oracle,8.1.7,Oracle_8.1.7_100000.ini
57,PaisleyDotNETFrameworkSecurityPolicy,2.0.0,PaisleyDotNETFrameworkSecurityPolicy_2.0.0_100000.ini
58,PaisleyDotNETFrameworkSecurityPolicy,2.1,PaisleyDotNETFrameworkSecurityPolicy_2.1_100000.ini
59,PasswordExpress-W7,8.0,PasswordExpress-W7_8.0_100000.ini
60,PolicyTechActiveX-32bit,3.5,PolicyTechActiveX-32bit_3.5_100000.ini
61,PowerDVD,5.1,PowerDVD_5.1_100000.ini
62,ProjectStandard,2003SP2,ProjectStandard_2003SP2_100000.ini
63,QualityCenter,10.15,QualityCenter_10.15_100000.ini
64,QualityCenterExcelAdd-in,10.4,QualityCenterExcelAdd-in_10.4_100000.ini
65,RecordNowDeluxe,7.3,RecordNowDeluxe_7.3_100000.ini
66,ReflectionSession-TPXPROD,1.0,ReflectionSession-TPXPROD_1.0_100000.ini
67,ReflectionStandardSuite,2011R1,ReflectionStandardSuite_2011R1_100000.ini
68,Remedy,6.30.15r1,Remedy_6.30.15r1_100000.ini
69,Sametime,8.0.1,Sametime_8.0.1_100000.ini
70,Sametime,8.0.1r2,Sametime_8.0.1r2_100000.ini
71,SAS-SID,9.1.3.2012,SAS-SID_9.1.3.2012_100000.ini
72,SAS-SID,9.2.2012,SAS-SID_9.2.2012_100000.ini
73,SASDataAnalyst,9.2,SASDataAnalyst_9.2_100000.ini
74,SASDataIntegrationStudio,4.2,SASDataIntegrationStudio_4.2_100000.ini
75,SASEnterpriseGuide,4.3,SASEnterpriseGuide_4.3_100000.ini
76,SASPCProgrammer,9.2A,SASPCProgrammer_9.2A_100000.ini
77,SASPCProgrammer,9.2B,SASPCProgrammer_9.2B_100000.ini
78,SASPCProgrammer,9.2C,SASPCProgrammer_9.2C_100000.ini
79,SASRequirements,9.2,SASRequirements_9.2_100000.ini
80,Silverlight,3.0,Silverlight_3.0_100000.ini
81,Silverlight,5.0,Silverlight_5.0_100000.ini
82,SnagIt,11.1.0.248,SnagIt_11.1.0.248_100000.ini
83,SnagIt,9.1.0,SnagIt_9.1.0_100000.ini
84,SNAPReporter,3.2.1.48,SNAPReporter_3.2.1.48_100000.ini
85,StarTeamClient,2008R2Patch12,StarTeamClient_2008R2Patch12_100000.ini
86,StretchBreakPro,6.3.4,StretchBreakPro_6.3.4_100000.ini
87,StretchBreakPro,6.3.4r1,StretchBreakPro_6.3.4r1_100000.ini
88,TeradataCLIModule,12.00.00.08,TeradataCLIModule_12.00.00.08_100000.ini
89,TeradataCLIModule,13.10.00.08,TeradataCLIModule_13.10.00.08_100000.ini
90,TeradataDotNetDataProvider,13.11.00.01,TeradataDotNetDataProvider_13.11.00.01_100000.ini
91,TeradataGSS,13.10.5.1,TeradataGSS_13.10.5.1_100000.ini
92,TeradataICU,13.10.0.2,TeradataICU_13.10.0.2_100000.ini
93,TeraDataODBC,13.10.00.09,TeraDataODBC_13.10.00.09_100000.ini
94,TeradataSQLAssistant,13.11.00.06,TeradataSQLAssistant_13.11.00.06_100000.ini
95,TNSNAMES.ORA,22-Jun-2009,TNSNAMES.ORA_22-Jun-2009_100000.ini
96,Visio,2007,Visio_2007_100000.ini
97,WebexConnect,6.1.5,WebexConnect_6.1.5_100000.ini
98,WebExMeetingManager,8.17.2100,WebExMeetingManager_8.17.2100_100000.ini
99,WebExNetworkRecordingPlayer,2.17.2100,WebExNetworkRecordingPlayer_2.17.2100_100000.ini
100,WebexPollingEditor,1.1.4917,WebexPollingEditor_1.1.4917_100000.ini
101,WebexProductivityTools,2.17.2100,WebexProductivityTools_2.17.2100_100000.ini
102,WebExSupportManager,7.17.2100,WebExSupportManager_7.17.2100_100000.ini
103,WebexTrainingCenter,5.17.2100,WebexTrainingCenter_5.17.2100_100000.ini
104,WebexUniversalToolkit,2.7.1100,WebexUniversalToolkit_2.7.1100_100000.ini
105,Win7-WLAN-MS,2.1,Win7-WLAN-MS_2.1_100000.ini
